adt and test case,time,time_synth,time_lattice_construct,natoms,quality
ht-cond-size-get,7.41,5.51,1.86,3,simple complete 
pullPayment,-2,-2,17.28,6674,complex incomplete 
linear-bool,5.04,2.81,2.19,46,complex complete 
linear,53.38,0.03,53.16,0,simple complete 
auction1,64.55,0.07,64.23,0,simple complete 
ht-add-put,22.15,14.30,7.77,3,simple complete 
array2,4.81,3.45,1.31,14,complex complete 
simple,-2,-2,6.01,8684,complex incomplete 
auction2,99.31,0.06,98.96,0,simple complete 
dict,50.37,16.40,33.80,3,simple complete 
nested-counter_1,1.63,0.76,0.84,7,simple complete 
nested-counter_2,8.19,7.34,0.82,179,complex incomplete 
even-odd,4.70,3.19,1.46,21,complex incomplete 
conditional,0.49,0.44,0.04,5,simple complete 
nonlinear,-2,-2,37.62,892,complex incomplete 
auction4,-2,-2,300.23,71,complex complete 
ht-cond-mem-get,9.55,6.47,3.03,3,simple incomplete 
ht-simple,159.62,55.71,103.62,3,simple complete 
calc,-2,-2,7.87,1006,complex incomplete 
standardToken2,-2,-2,300.02,0,simple incomplete 
array1,2.54,2.24,0.29,49,complex complete 
standardToken4,146.20,105.04,40.95,185,complex incomplete 
standardToken5,-2,-2,300.03,0,simple incomplete 
auction3,-2,-2,300.16,6486,complex incomplete 
matrix,-2,-2,300.02,2,simple complete 
counter,0.46,0.25,0.19,1,simple complete 
nested_1,0.25,0.02,0.21,0,simple complete 
nested_2,0.43,0.31,0.10,1,simple complete 
array3,25.22,17.68,7.46,599,complex complete 
standardToken3,-2,-2,35.45,562,complex incomplete 
linear-cond,25.88,22.80,3.03,772,complex complete 
standardToken1,10.34,0.06,10.18,0,simple complete 
dot-product,29.44,0.06,29.21,0,simple complete 
array-disjoint,7.84,4.80,2.99,90,complex complete 
loop-inter,-2,-2,13.78,277,complex incomplete 
loop-disjoint,0.06,0.01,0.04,0,simple complete 
loop-amt,-2,-2,4.16,2267,complex incomplete 
loop-simple,0.31,0.03,0.26,0,simple complete  
