adt and test case,time,time_synth,time_lattice_construct,natoms,quality
ht-cond-size-get,3.44,1.50,1.89,3,simple complete 
pullPayment,25.07,7.55,17.39,3,simple complete 
linear-bool,4.58,2.34,2.20,7,simple complete 
linear,53.73,0.03,53.50,0,simple complete 
auction1,64.71,0.07,64.38,0,simple complete 
ht-add-put,14.91,7.00,7.82,3,simple complete 
array2,3.90,2.55,1.31,3,simple complete 
simple,19.19,12.99,6.12,25,complex incomplete 
auction2,100.24,0.06,99.88,0,simple complete 
dict,43.58,9.10,34.30,3,simple complete 
nested-counter_1,1.76,0.88,0.85,3,simple complete 
nested-counter_2,4.02,3.16,0.82,10,complex incomplete 
even-odd,2.67,1.16,1.46,1,simple incomplete 
conditional,0.32,0.27,0.04,1,simple complete 
nonlinear,44.69,6.59,37.89,1,simple complete 
auction4,-2,-2,300.23,1,simple complete 
ht-cond-mem-get,5.75,2.65,3.05,1,simple incomplete 
ht-simple,146.03,42.06,103.68,3,simple complete 
calc,-2,-2,7.90,10,complex incomplete 
standardToken2,-2,-2,300.02,0,simple incomplete 
array1,1.72,1.41,0.29,9,simple complete 
standardToken4,43.52,2.17,41.15,1,simple complete 
standardToken5,-2,-2,300.03,0,simple incomplete 
auction3,-2,-2,300.16,12,complex complete 
matrix,-2,-2,300.02,1,simple complete 
counter,0.46,0.25,0.19,1,simple complete 
nested_1,0.25,0.02,0.21,0,simple complete 
nested_2,0.49,0.36,0.11,1,simple complete 
array3,9.42,1.88,7.46,3,simple complete 
standardToken3,-2,-2,35.68,0,simple incomplete 
linear-cond,4.62,1.53,3.04,4,simple complete 
standardToken1,10.41,0.06,10.25,0,simple complete 
dot-product,29.61,0.06,29.38,0,simple complete 
array-disjoint,4.51,1.43,3.03,3,simple complete 
loop-inter,21.48,7.56,13.80,3,simple complete 
loop-disjoint,0.06,0.01,0.04,0,simple complete 
loop-amt,15.55,11.32,4.17,10,complex incomplete 
loop-simple,0.30,0.03,0.25,0,simple complete  
